sha_a	date_a	author_a	trailer_a	svn_rev_a	add_a	del_a	sha_b	date_b	author_b	trailer_b	svn_rev_b	add_b	del_b	pair_type	same_change	offset_days_b_minus_a	first_message_line
f077bc0f4	2010-07-02T23:43:29Z	s_nakamoto	T	96	6	5	64f937069	2010-07-02T23:43:29Z	s_nakamoto	-		6	5	one-trailer	identical	0.00	reduced max outbound connections from 15 to 8 --version 0.3 rc4
d77eac25b	2010-07-04T06:15:06Z	s_nakamoto	T	97	2	11	603c7ccea	2010-07-04T06:15:06Z	s_nakamoto	-		2	11	one-trailer	identical	0.00	version 0.3 release
d88277378	2010-07-08T16:14:56Z	s_nakamoto	T	99	167	101	a280b4e66	2010-07-08T16:14:56Z	s_nakamoto	-		167	101	one-trailer	identical	0.00	Laszlo's fix to make generate threads idle priority on Linux,
50d49d9c2	2010-07-08T18:07:14Z	s_nakamoto	T	100	807	0	cefe611ce	2010-07-08T18:07:14Z	s_nakamoto	-		807	0	one-trailer	identical	0.00	Portuguese translation by Tiago Faria
20c6bfad1	2010-07-09T02:11:50Z	s_nakamoto	T	101	86	6	c8063ff03	2010-07-09T02:11:50Z	s_nakamoto	-		86	6	one-trailer	identical	0.00	Gavin Andresen: implementation of autostart on system startup option on Linux
6e5d67e82	2010-07-09T15:29:48Z	s_nakamoto	T	102	6	14	f32339e70	2010-07-09T15:29:48Z	s_nakamoto	-		6	14	one-trailer	identical	0.00	switched from wxStandardPaths to GetDefaultDataDir, fixes bug reported by m0mchil when username contains non-lower-ASCII characters
d01eaf042	2010-07-15T16:46:46Z	s_nakamoto	T	104	5	5	9d2174b6f	2010-07-19T01:02:04Z	Gavin Andresen	-		30	9	one-trailer	differs	3.34	version 0.3.1 rc1
0bbc812f4	2010-07-15T19:11:51Z	s_nakamoto	T	105	1687	0	05708fc63	2010-07-19T01:08:47Z	Gavin Andresen	-		1687	0	one-trailer	identical	3.25	Spanish translation by milkiway,
673a6d15d	2010-07-16T23:12:58Z	s_nakamoto	T	106	6	0	8e79c6475	2010-07-19T01:10:37Z	Gavin Andresen	-		6	0	one-trailer	identical	2.08	version 0.3.1 release
ae922a36a	2010-07-17T23:51:16Z	s_nakamoto	T	107	20	7	4110f33cd	2010-07-19T01:12:24Z	Gavin Andresen	-		20	7	one-trailer	identical	1.06	security safeguards,
